Var1,Var2,Var3,Var4,Freq
2016,3,Bay Street Corridor (76),0,0
2017,3,Bay Street Corridor (76),0,0
2018,3,Bay Street Corridor (76),0,0
2019,3,Bay Street Corridor (76),0,0
2020,3,Bay Street Corridor (76),0,0
2016,0,Bayview Village (52),0,1
2017,0,Bayview Village (52),0,3
2018,0,Bayview Village (52),0,4
2019,0,Bayview Village (52),0,3
2020,0,Bayview Village (52),0,2
2016,1,Bayview Village (52),0,0
2017,1,Bayview Village (52),0,0
2018,1,Bayview Village (52),0,0
2019,1,Bayview Village (52),0,0
2020,1,Bayview Village (52),0,0
2016,2,Bayview Village (52),0,0
2017,2,Bayview Village (52),0,0
2018,2,Bayview Village (52),0,0
2019,2,Bayview Village (52),0,0
2020,2,Bayview Village (52),0,0
2016,3,Bayview Village (52),0,0
2017,3,Bayview Village (52),0,0
2018,3,Bayview Village (52),0,0
2019,3,Bayview Village (52),0,0
2020,3,Bayview Village (52),0,0
2016,0,Bayview Woods-Steeles (49),0,1
2017,0,Bayview Woods-Steeles (49),0,2
2018,0,Bayview Woods-Steeles (49),0,1
2019,0,Bayview Woods-Steeles (49),0,0
2020,0,Bayview Woods-Steeles (49),0,1
2016,1,Bayview Woods-Steeles (49),0,0
2017,1,Bayview Woods-Steeles (49),0,0
2018,1,Bayview Woods-Steeles (49),0,0
2019,1,Bayview Woods-Steeles (49),0,0
2020,1,Bayview Woods-Steeles (49),0,0
2016,2,Bayview Woods-Steeles (49),0,0
2017,2,Bayview Woods-Steeles (49),0,0
2018,2,Bayview Woods-Steeles (49),0,0
2019,2,Bayview Woods-Steeles (49),0,0
2020,2,Bayview Woods-Steeles (49),0,0
2016,3,Bayview Woods-Steeles (49),0,0
2017,3,Bayview Woods-Steeles (49),0,0
2018,3,Bayview Woods-Steeles (49),0,0
2019,3,Bayview Woods-Steeles (49),0,0
2020,3,Bayview Woods-Steeles (49),0,0
2016,0,Bedford Park-Nortown (39),0,2
2017,0,Bedford Park-Nortown (39),0,2
2018,0,Bedford Park-Nortown (39),0,6
2019,0,Bedford Park-Nortown (39),0,3
2020,0,Bedford Park-Nortown (39),0,1
2016,1,Bedford Park-Nortown (39),0,0
2017,1,Bedford Park-Nortown (39),0,0
2018,1,Bedford Park-Nortown (39),0,0
2019,1,Bedford Park-Nortown (39),0,0
2020,1,Bedford Park-Nortown (39),0,0
2016,2,Bedford Park-Nortown (39),0,0
2017,2,Bedford Park-Nortown (39),0,0
2018,2,Bedford Park-Nortown (39),0,0
2019,2,Bedford Park-Nortown (39),0,0
2020,2,Bedford Park-Nortown (39),0,0
2016,3,Bedford Park-Nortown (39),0,0
2017,3,Bedford Park-Nortown (39),0,0
2018,3,Bedford Park-Nortown (39),0,0
2019,3,Bedford Park-Nortown (39),0,0
2020,3,Bedford Park-Nortown (39),0,0
2016,0,Beechborough-Greenbrook (112),0,2
2017,0,Beechborough-Greenbrook (112),0,1
2018,0,Beechborough-Greenbrook (112),0,3
2019,0,Beechborough-Greenbrook (112),0,3
2020,0,Beechborough-Greenbrook (112),0,3
2016,1,Beechborough-Greenbrook (112),0,0
2017,1,Beechborough-Greenbrook (112),0,0
2018,1,Beechborough-Greenbrook (112),0,0
2019,1,Beechborough-Greenbrook (112),0,0
2020,1,Beechborough-Greenbrook (112),0,0
2016,2,Beechborough-Greenbrook (112),0,0
2017,2,Beechborough-Greenbrook (112),0,0
2018,2,Beechborough-Greenbrook (112),0,0
2019,2,Beechborough-Greenbrook (112),0,0
2020,2,Beechborough-Greenbrook (112),0,0
2016,3,Beechborough-Greenbrook (112),0,0
2017,3,Beechborough-Greenbrook (112),0,0
2018,3,Beechborough-Greenbrook (112),0,0
2019,3,Beechborough-Greenbrook (112),0,0
2020,3,Beechborough-Greenbrook (112),0,0
2016,0,Bendale (127),0,5
2017,0,Bendale (127),0,8
2018,0,Bendale (127),0,8
2019,0,Bendale (127),0,6
2020,0,Bendale (127),0,11
2016,1,Bendale (127),0,1
2017,1,Bendale (127),0,0
2018,1,Bendale (127),0,0
2019,1,Bendale (127),0,0
2020,1,Bendale (127),0,0
2016,2,Bendale (127),0,0
2017,2,Bendale (127),0,0
2018,2,Bendale (127),0,0
2019,2,Bendale (127),0,0
2020,2,Bendale (127),0,0
2016,3,Bendale (127),0,0
2017,3,Bendale (127),0,0
2018,3,Bendale (127),0,0
2019,3,Bendale (127),0,0
2020,3,Bendale (127),0,0
2016,0,Birchcliffe-Cliffside (122),0,4
2017,0,Birchcliffe-Cliffside (122),0,2
2018,0,Birchcliffe-Cliffside (122),0,3
2019,0,Birchcliffe-Cliffside (122),0,4
2020,0,Birchcliffe-Cliffside (122),0,2
2016,1,Birchcliffe-Cliffside (122),0,0
2017,1,Birchcliffe-Cliffside (122),0,0
2018,1,Birchcliffe-Cliffside (122),0,0
2019,1,Birchcliffe-Cliffside (122),0,0
2020,1,Birchcliffe-Cliffside (122),0,0
2016,2,Birchcliffe-Cliffside (122),0,0
2017,2,Birchcliffe-Cliffside (122),0,0
2018,2,Birchcliffe-Cliffside (122),0,0
2019,2,Birchcliffe-Cliffside (122),0,0
2020,2,Birchcliffe-Cliffside (122),0,0
2016,3,Birchcliffe-Cliffside (122),0,0
2017,3,Birchcliffe-Cliffside (122),0,0
2018,3,Birchcliffe-Cliffside (122),0,0
2019,3,Birchcliffe-Cliffside (122),0,0
2020,3,Birchcliffe-Cliffside (122),0,0
2016,0,Black Creek (24),0,11
2017,0,Black Creek (24),0,5
2018,0,Black Creek (24),0,5
2019,0,Black Creek (24),0,5
2020,0,Black Creek (24),0,0
2016,1,Black Creek (24),0,0
2017,1,Black Creek (24),0,0
2018,1,Black Creek (24),0,0
2019,1,Black Creek (24),0,0
2020,1,Black Creek (24),0,0
2016,2,Black Creek (24),0,0
2017,2,Black Creek (24),0,0
2018,2,Black Creek (24),0,0
2019,2,Black Creek (24),0,0
2020,2,Black Creek (24),0,0
2016,3,Black Creek (24),0,0
2017,3,Black Creek (24),0,0
2018,3,Black Creek (24),0,0
2019,3,Black Creek (24),0,0
2020,3,Black Creek (24),0,0
2016,0,Blake-Jones (69),0,0
2017,0,Blake-Jones (69),0,2
2018,0,Blake-Jones (69),0,0
2019,0,Blake-Jones (69),0,2
2020,0,Blake-Jones (69),0,0
2016,1,Blake-Jones (69),0,0
2017,1,Blake-Jones (69),0,0
2018,1,Blake-Jones (69),0,0
2019,1,Blake-Jones (69),0,0
2020,1,Blake-Jones (69),0,0
2016,2,Blake-Jones (69),0,0
2017,2,Blake-Jones (69),0,0
2018,2,Blake-Jones (69),0,0
2019,2,Blake-Jones (69),0,0
2020,2,Blake-Jones (69),0,0
2016,3,Blake-Jones (69),0,0
2017,3,Blake-Jones (69),0,0
2018,3,Blake-Jones (69),0,0
2019,3,Blake-Jones (69),0,0
2020,3,Blake-Jones (69),0,0
2016,0,Briar Hill-Belgravia (108),0,2
2017,0,Briar Hill-Belgravia (108),0,3
2018,0,Briar Hill-Belgravia (108),0,2
2019,0,Briar Hill-Belgravia (108),0,1
2020,0,Briar Hill-Belgravia (108),0,2
2016,1,Briar Hill-Belgravia (108),0,0
2017,1,Briar Hill-Belgravia (108),0,0
2018,1,Briar Hill-Belgravia (108),0,1
2019,1,Briar Hill-Belgravia (108),0,0
2020,1,Briar Hill-Belgravia (108),0,0
2016,2,Briar Hill-Belgravia (108),0,0
2017,2,Briar Hill-Belgravia (108),0,0
2018,2,Briar Hill-Belgravia (108),0,0
2019,2,Briar Hill-Belgravia (108),0,0
2020,2,Briar Hill-Belgravia (108),0,0
2016,3,Briar Hill-Belgravia (108),0,0
2017,3,Briar Hill-Belgravia (108),0,0
2018,3,Briar Hill-Belgravia (108),0,0
2019,3,Briar Hill-Belgravia (108),0,0
2020,3,Briar Hill-Belgravia (108),0,0
2016,0,Bridle Path-Sunnybrook-York Mills (41),0,1
2017,0,Bridle Path-Sunnybrook-York Mills (41),0,0
2018,0,Bridle Path-Sunnybrook-York Mills (41),0,1
2019,0,Bridle Path-Sunnybrook-York Mills (41),0,0
2020,0,Bridle Path-Sunnybrook-York Mills (41),0,1
2016,1,Bridle Path-Sunnybrook-York Mills (41),0,0
2017,1,Bridle Path-Sunnybrook-York Mills (41),0,0
2018,1,Bridle Path-Sunnybrook-York Mills (41),0,0
2019,1,Bridle Path-Sunnybrook-York Mills (41),0,0
2020,1,Bridle Path-Sunnybrook-York Mills (41),0,0
2016,2,Bridle Path-Sunnybrook-York Mills (41),0,0
2017,2,Bridle Path-Sunnybrook-York Mills (41),0,0
2018,2,Bridle Path-Sunnybrook-York Mills (41),0,0
2019,2,Bridle Path-Sunnybrook-York Mills (41),0,0
2020,2,Bridle Path-Sunnybrook-York Mills (41),0,0
2016,3,Bridle Path-Sunnybrook-York Mills (41),0,0
2017,3,Bridle Path-Sunnybrook-York Mills (41),0,0
2018,3,Bridle Path-Sunnybrook-York Mills (41),0,0
2019,3,Bridle Path-Sunnybrook-York Mills (41),0,0
2020,3,Bridle Path-Sunnybrook-York Mills (41),0,0
2016,0,Broadview North (57),0,0
2017,0,Broadview North (57),0,3
2018,0,Broadview North (57),0,0
2019,0,Broadview North (57),0,1
2020,0,Broadview North (57),0,1
2016,1,Broadview North (57),0,0
2017,1,Broadview North (57),0,0
2018,1,Broadview North (57),0,0
2019,1,Broadview North (57),0,0
2020,1,Broadview North (57),0,0
2016,2,Broadview North (57),0,0
2017,2,Broadview North (57),0,0
2018,2,Broadview North (57),0,0
2019,2,Broadview North (57),0,0
2020,2,Broadview North (57),0,0
2016,3,Broadview North (57),0,0
2017,3,Broadview North (57),0,0
2018,3,Broadview North (57),0,0
2019,3,Broadview North (57),0,0
2020,3,Broadview North (57),0,0
2016,0,Brookhaven-Amesbury (30),0,2
2017,0,Brookhaven-Amesbury (30),0,4
2018,0,Brookhaven-Amesbury (30),0,4
2019,0,Brookhaven-Amesbury (30),0,2
2020,0,Brookhaven-Amesbury (30),0,4
2016,1,Brookhaven-Amesbury (30),0,0
2017,1,Brookhaven-Amesbury (30),0,0
2018,1,Brookhaven-Amesbury (30),0,0
2019,1,Brookhaven-Amesbury (30),0,0
2020,1,Brookhaven-Amesbury (30),0,0
2016,2,Brookhaven-Amesbury (30),0,0
2017,2,Brookhaven-Amesbury (30),0,0
2018,2,Brookhaven-Amesbury (30),0,0
2019,2,Brookhaven-Amesbury (30),0,0
2020,2,Brookhaven-Amesbury (30),0,0
2016,3,Brookhaven-Amesbury (30),0,0
2017,3,Brookhaven-Amesbury (30),0,0
2018,3,Brookhaven-Amesbury (30),0,0
2019,3,Brookhaven-Amesbury (30),0,0
2020,3,Brookhaven-Amesbury (30),0,0
2016,0,Cabbagetown-South St.James Town (71),0,1
2017,0,Cabbagetown-South St.James Town (71),0,3
2018,0,Cabbagetown-South St.James Town (71),0,2
2019,0,Cabbagetown-South St.James Town (71),0,3
2020,0,Cabbagetown-South St.James Town (71),0,1
2016,1,Cabbagetown-South St.James Town (71),0,0
2017,1,Cabbagetown-South St.James Town (71),0,0
2018,1,Cabbagetown-South St.James Town (71),0,0
2019,1,Cabbagetown-South St.James Town (71),0,0
2020,1,Cabbagetown-South St.James Town (71),0,0
2016,2,Cabbagetown-South St.James Town (71),0,0
2017,2,Cabbagetown-South St.James Town (71),0,0
2018,2,Cabbagetown-South St.James Town (71),0,0
2019,2,Cabbagetown-South St.James Town (71),0,0
2020,2,Cabbagetown-South St.James Town (71),0,0
2016,3,Cabbagetown-South St.James Town (71),0,0
2017,3,Cabbagetown-South St.James Town (71),0,0
2018,3,Cabbagetown-South St.James Town (71),0,0
2019,3,Cabbagetown-South St.James Town (71),0,0
2020,3,Cabbagetown-South St.James Town (71),0,0
2016,0,Caledonia-Fairbank (109),0,0
2017,0,Caledonia-Fairbank (109),0,1
2018,0,Caledonia-Fairbank (109),0,2
2019,0,Caledonia-Fairbank (109),0,1
2020,0,Caledonia-Fairbank (109),0,0
2016,1,Caledonia-Fairbank (109),0,0
2017,1,Caledonia-Fairbank (109),0,0
2018,1,Caledonia-Fairbank (109),0,0
2019,1,Caledonia-Fairbank (109),0,0
2020,1,Caledonia-Fairbank (109),0,0
2016,2,Caledonia-Fairbank (109),0,0
2017,2,Caledonia-Fairbank (109),0,0
2018,2,Caledonia-Fairbank (109),0,0
2019,2,Caledonia-Fairbank (109),0,0
2020,2,Caledonia-Fairbank (109),0,0
2016,3,Caledonia-Fairbank (109),0,0
2017,3,Caledonia-Fairbank (109),0,0
2018,3,Caledonia-Fairbank (109),0,0
2019,3,Caledonia-Fairbank (109),0,0
2020,3,Caledonia-Fairbank (109),0,0
2016,0,Casa Loma (96),0,3
2017,0,Casa Loma (96),0,6
2018,0,Casa Loma (96),0,1
2019,0,Casa Loma (96),0,2
2020,0,Casa Loma (96),0,1
2016,1,Casa Loma (96),0,0
2017,1,Casa Loma (96),0,0
2018,1,Casa Loma (96),0,0
2019,1,Casa Loma (96),0,0
2020,1,Casa Loma (96),0,0
2016,2,Casa Loma (96),0,0
2017,2,Casa Loma (96),0,0
2018,2,Casa Loma (96),0,0
2019,2,Casa Loma (96),0,0
2020,2,Casa Loma (96),0,0
2016,3,Casa Loma (96),0,0
2017,3,Casa Loma (96),0,0
2018,3,Casa Loma (96),0,0
2019,3,Casa Loma (96),0,0
2020,3,Casa Loma (96),0,0
2016,0,Centennial Scarborough (133),0,2
2017,0,Centennial Scarborough (133),0,2
2018,0,Centennial Scarborough (133),0,4
2019,0,Centennial Scarborough (133),0,4
2020,0,Centennial Scarborough (133),0,1
2016,1,Centennial Scarborough (133),0,0
2017,1,Centennial Scarborough (133),0,0
2018,1,Centennial Scarborough (133),0,1
2019,1,Centennial Scarborough (133),0,0
2020,1,Centennial Scarborough (133),0,0
2016,2,Centennial Scarborough (133),0,0
2017,2,Centennial Scarborough (133),0,0
2018,2,Centennial Scarborough (133),0,0
2019,2,Centennial Scarborough (133),0,0
2020,2,Centennial Scarborough (133),0,0
2016,3,Centennial Scarborough (133),0,0
2017,3,Centennial Scarborough (133),0,0
2018,3,Centennial Scarborough (133),0,0
2019,3,Centennial Scarborough (133),0,0
2020,3,Centennial Scarborough (133),0,0
2016,0,Church-Yonge Corridor (75),0,16
2017,0,Church-Yonge Corridor (75),0,12
2018,0,Church-Yonge Corridor (75),0,16
2019,0,Church-Yonge Corridor (75),0,14
2020,0,Church-Yonge Corridor (75),0,4
2016,1,Church-Yonge Corridor (75),0,0
2017,1,Church-Yonge Corridor (75),0,0
2018,1,Church-Yonge Corridor (75),0,0
2019,1,Church-Yonge Corridor (75),0,0
2020,1,Church-Yonge Corridor (75),0,0
2016,2,Church-Yonge Corridor (75),0,0
2017,2,Church-Yonge Corridor (75),0,0
2018,2,Church-Yonge Corridor (75),0,0
2019,2,Church-Yonge Corridor (75),0,0
2020,2,Church-Yonge Corridor (75),0,0
2016,3,Church-Yonge Corridor (75),0,0
2017,3,Church-Yonge Corridor (75),0,0
2018,3,Church-Yonge Corridor (75),0,0
2019,3,Church-Yonge Corridor (75),0,0
2020,3,Church-Yonge Corridor (75),0,0
2016,0,Clairlea-Birchmount (120),0,4
2017,0,Clairlea-Birchmount (120),0,3
2018,0,Clairlea-Birchmount (120),0,6
2019,0,Clairlea-Birchmount (120),0,5
2020,0,Clairlea-Birchmount (120),0,5
2016,1,Clairlea-Birchmount (120),0,0
2017,1,Clairlea-Birchmount (120),0,0
2018,1,Clairlea-Birchmount (120),0,0
2019,1,Clairlea-Birchmount (120),0,0
2020,1,Clairlea-Birchmount (120),0,0
2016,2,Clairlea-Birchmount (120),0,0
2017,2,Clairlea-Birchmount (120),0,0
2018,2,Clairlea-Birchmount (120),0,0
2019,2,Clairlea-Birchmount (120),0,0
2020,2,Clairlea-Birchmount (120),0,0
2016,3,Clairlea-Birchmount (120),0,0
2017,3,Clairlea-Birchmount (120),0,0
2018,3,Clairlea-Birchmount (120),0,0
2019,3,Clairlea-Birchmount (120),0,0
2020,3,Clairlea-Birchmount (120),0,0
2016,0,Clanton Park (33),0,6
2017,0,Clanton Park (33),0,5
2018,0,Clanton Park (33),0,2
2019,0,Clanton Park (33),0,1
2020,0,Clanton Park (33),0,0
2016,1,Clanton Park (33),0,0
2017,1,Clanton Park (33),0,0
2018,1,Clanton Park (33),0,0
2019,1,Clanton Park (33),0,0
2020,1,Clanton Park (33),0,0
2016,2,Clanton Park (33),0,0
2017,2,Clanton Park (33),0,0
2018,2,Clanton Park (33),0,0
2019,2,Clanton Park (33),0,0
2020,2,Clanton Park (33),0,0
2016,3,Clanton Park (33),0,0
2017,3,Clanton Park (33),0,0
2018,3,Clanton Park (33),0,0
2019,3,Clanton Park (33),0,0
2020,3,Clanton Park (33),0,0
2016,0,Cliffcrest (123),0,4
2017,0,Cliffcrest (123),0,4
2018,0,Cliffcrest (123),0,2
2019,0,Cliffcrest (123),0,1
2020,0,Cliffcrest (123),0,3
2016,1,Cliffcrest (123),0,0
2017,1,Cliffcrest (123),0,0
2018,1,Cliffcrest (123),0,0
2019,1,Cliffcrest (123),0,0
2020,1,Cliffcrest (123),0,0
2016,2,Cliffcrest (123),0,0
2017,2,Cliffcrest (123),0,0
2018,2,Cliffcrest (123),0,0
2019,2,Cliffcrest (123),0,0
2020,2,Cliffcrest (123),0,0
2016,3,Cliffcrest (123),0,0
2017,3,Cliffcrest (123),0,0
2018,3,Cliffcrest (123),0,0
2019,3,Cliffcrest (123),0,0
2020,3,Cliffcrest (123),0,0
2016,0,Corso Italia-Davenport (92),0,9
2017,0,Corso Italia-Davenport (92),0,4
2018,0,Corso Italia-Davenport (92),0,5
2019,0,Corso Italia-Davenport (92),0,2
2020,0,Corso Italia-Davenport (92),0,5
2016,1,Corso Italia-Davenport (92),0,0
2017,1,Corso Italia-Davenport (92),0,0
2018,1,Corso Italia-Davenport (92),0,0
2019,1,Corso Italia-Davenport (92),0,0
2020,1,Corso Italia-Davenport (92),0,0
2016,2,Corso Italia-Davenport (92),0,0
2017,2,Corso Italia-Davenport (92),0,0
2018,2,Corso Italia-Davenport (92),0,0
2019,2,Corso Italia-Davenport (92),0,0
2020,2,Corso Italia-Davenport (92),0,0
2016,3,Corso Italia-Davenport (92),0,0
2017,3,Corso Italia-Davenport (92),0,0
2018,3,Corso Italia-Davenport (92),0,0
2019,3,Corso Italia-Davenport (92),0,0
2020,3,Corso Italia-Davenport (92),0,0
2016,0,Danforth (66),0,3
2017,0,Danforth (66),0,2
2018,0,Danforth (66),0,3
2019,0,Danforth (66),0,6
2020,0,Danforth (66),0,0
2016,1,Danforth (66),0,0
2017,1,Danforth (66),0,0
2018,1,Danforth (66),0,0
2019,1,Danforth (66),0,0
2020,1,Danforth (66),0,0
2016,2,Danforth (66),0,0
2017,2,Danforth (66),0,0
2018,2,Danforth (66),0,0
2019,2,Danforth (66),0,0
2020,2,Danforth (66),0,0
2016,3,Danforth (66),0,0
2017,3,Danforth (66),0,0
2018,3,Danforth (66),0,0
2019,3,Danforth (66),0,0
2020,3,Danforth (66),0,0
2016,0,Danforth East York (59),0,2
2017,0,Danforth East York (59),0,1
2018,0,Danforth East York (59),0,0
2019,0,Danforth East York (59),0,2
2020,0,Danforth East York (59),0,2
2016,1,Danforth East York (59),0,0
2017,1,Danforth East York (59),0,0
2018,1,Danforth East York (59),0,0
2019,1,Danforth East York (59),0,0
2020,1,Danforth East York (59),0,0
2016,2,Danforth East York (59),0,0
2017,2,Danforth East York (59),0,0
2018,2,Danforth East York (59),0,0
2019,2,Danforth East York (59),0,0
2020,2,Danforth East York (59),0,0
2016,3,Danforth East York (59),0,0
2017,3,Danforth East York (59),0,0
2018,3,Danforth East York (59),0,0
2019,3,Danforth East York (59),0,0
2020,3,Danforth East York (59),0,0
2016,0,Don Valley Village (47),0,6
2017,0,Don Valley Village (47),0,3
2018,0,Don Valley Village (47),0,10
2019,0,Don Valley Village (47),0,4
2020,0,Don Valley Village (47),0,2
2016,1,Don Valley Village (47),0,0
2017,1,Don Valley Village (47),0,0
2018,1,Don Valley Village (47),0,0
2019,1,Don Valley Village (47),0,0
2020,1,Don Valley Village (47),0,0
2016,2,Don Valley Village (47),0,0
2017,2,Don Valley Village (47),0,0
2018,2,Don Valley Village (47),0,0
2019,2,Don Valley Village (47),0,0
2020,2,Don Valley Village (47),0,0
2016,3,Don Valley Village (47),0,0
2017,3,Don Valley Village (47),0,0
2018,3,Don Valley Village (47),0,0
2019,3,Don Valley Village (47),0,0
2020,3,Don Valley Village (47),0,0
2016,0,Dorset Park (126),0,2
2017,0,Dorset Park (126),0,10
2018,0,Dorset Park (126),0,5
2019,0,Dorset Park (126),0,10
2020,0,Dorset Park (126),0,5
2016,1,Dorset Park (126),0,0
2017,1,Dorset Park (126),0,0
2018,1,Dorset Park (126),0,0
2019,1,Dorset Park (126),0,0
2020,1,Dorset Park (126),0,0
2016,2,Dorset Park (126),0,0
2017,2,Dorset Park (126),0,0
2018,2,Dorset Park (126),0,0
2019,2,Dorset Park (126),0,0
2020,2,Dorset Park (126),0,0
2016,3,Dorset Park (126),0,0
2017,3,Dorset Park (126),0,0
2018,3,Dorset Park (126),0,0
2019,3,Dorset Park (126),0,0
2020,3,Dorset Park (126),0,0
2016,0,Dovercourt-Wallace Emerson-Junction (93),0,8
2017,0,Dovercourt-Wallace Emerson-Junction (93),0,11
2018,0,Dovercourt-Wallace Emerson-Junction (93),0,12
2019,0,Dovercourt-Wallace Emerson-Junction (93),0,14
2020,0,Dovercourt-Wallace Emerson-Junction (93),0,7
2016,1,Dovercourt-Wallace Emerson-Junction (93),0,0
2017,1,Dovercourt-Wallace Emerson-Junction (93),0,0
2018,1,Dovercourt-Wallace Emerson-Junction (93),0,0
2019,1,Dovercourt-Wallace Emerson-Junction (93),0,0
2020,1,Dovercourt-Wallace Emerson-Junction (93),0,0
2016,2,Dovercourt-Wallace Emerson-Junction (93),0,0
2017,2,Dovercourt-Wallace Emerson-Junction (93),0,0
2018,2,Dovercourt-Wallace Emerson-Junction (93),0,0
2019,2,Dovercourt-Wallace Emerson-Junction (93),0,0
2020,2,Dovercourt-Wallace Emerson-Junction (93),0,0
2016,3,Dovercourt-Wallace Emerson-Junction (93),0,0
2017,3,Dovercourt-Wallace Emerson-Junction (93),0,0
2018,3,Dovercourt-Wallace Emerson-Junction (93),0,0
2019,3,Dovercourt-Wallace Emerson-Junction (93),0,0
2020,3,Dovercourt-Wallace Emerson-Junction (93),0,0
2016,0,Downsview-Roding-CFB (26),0,7
2017,0,Downsview-Roding-CFB (26),0,12
